"Cluster 1","Cluster 2","Cluster 3","Cluster 4"
0.334808841930592,0.352760430297096,0.199944227187735,0.112486500584578
0.207227778855629,0.283643082717536,0.1391412464808,0.369987891946035
0.241580980663852,0.132648852075174,0.549867843493738,0.0759023237672359
0.174471011332961,0.466412323191357,0.0720699825482441,0.287046682927438
0.238658768654278,0.134711420126991,0.551371430630143,0.0752583805885877
0.273539411396328,0.405687777808074,0.165600072523491,0.155172738272107
0.196418748495928,0.0626621677361469,0.717718651847578,0.023200431920347
0.210903054671798,0.586527704429085,0.0905404125471569,0.11202882835196
0.213647835809693,0.297097662220587,0.102932329696089,0.38632217227363
0.389196763599801,0.165685735264388,0.399873829705614,0.0452436714301977
0.269786386245548,0.428660711750085,0.123673664044677,0.177879237959691
0.167142349455125,0.0611230491485547,0.75031506906468,0.0214195323316405
0.477917577687558,0.0844113139601484,0.407040781010115,0.0306303273421782
0.323204457180607,0.223157800378014,0.346043164709094,0.107594577732284
0.0798700206718928,0.199147798163237,0.0408800676055882,0.680102113559282
0.503851086194045,0.240549691341087,0.193622503249901,0.0619767192149671
0.38402845395888,0.355209606703043,0.163986920834966,0.0967750185031105
0.50784467321829,0.141863782637783,0.289916920100847,0.0603746240430808
0.240831905996641,0.565276761274278,0.0892890242609106,0.104602308468171
0.187317121168419,0.430591042308425,0.0944323891833554,0.287659447339801
0.260197295920541,0.37420270663208,0.155832395247358,0.209767602200021
0.462146159461423,0.135532951446738,0.361664188833932,0.0406567002579078
0.143662915710107,0.0521976212404317,0.78374127187177,0.0203981911776917
0.471956358461194,0.159737299063754,0.324680514285242,0.0436258281898099
0.163815068041513,0.0451960394391417,0.774686036650766,0.0163028558685795
0.36834492054599,0.0642460441255109,0.547586133179269,0.0198229021492307
0.116339111494216,0.467341339568896,0.0514720511001274,0.364847497836761
0.254439547409672,0.407714114378283,0.14116006747047,0.196686270741575
0.485701553960121,0.381677977417139,0.0874108103939568,0.0452096582287833
0.324432675390264,0.170837215769936,0.398091640041552,0.106638468798248
0.233907931776452,0.290018191715708,0.188607610161615,0.287466266346225
0.717843566964475,0.16721415205,0.0892260668698107,0.0257162141157142
0.259786555773834,0.174866213258597,0.467099640713015,0.0982475902545535
0.228133623687755,0.127292590630821,0.583644113610313,0.0609296720711107
0.0732650904129423,0.145793706746569,0.0388962832700841,0.742044919570405
0.39499696043676,0.200223940415164,0.314493281811498,0.0902858173365777
0.239365532773889,0.113173276037528,0.588144459730219,0.0593167314583639
0.0988529442271544,0.0374559863252553,0.847901707381778,0.0157893620658122
0.17479173519493,0.0579565739292085,0.742637528359781,0.02461416251608
0.579097363490339,0.290749835292252,0.0789477670293034,0.0512050341881052
